person_id,inscribed_name,source_identifier
P0047,Olivier MAILLEBUAU,F0136
P0048,PIYARATANA,F0137
P0048,A.K. JAYATILLEKE,F0137
P0049,GNĀṆAJOTHI,F0137
P0050,AMATASIRI,F0137
P0050,Robert SCHUJMER,F0137
P0051,NYĀṆATISSA,F0137
P0051,NYANATISSA (!),F0137
P0052,Bhikkhu ÑĀNAVIRA,F0138
P0052,Harold Eward Musson,F0138
P0053,PIYARATANA Mahāthera,F0139
P0053,A.K. Jayatilleke,F0139
P0054,With beard: HITESI Samanera,F0139
P0054,Wolfgang Haala,F0139
P0055,NYĀṆADHIRA,F0140
P0055,Frederic HENRY,F0140
P0056,NYĀṆASATTA,F0140
P0056,Martin NOVOSAD,F0140
P0057,HITESI,F0140
P0057,Wolfgang Haala,F0140
P0058,PIYARATANA,F0140
P0058,AK JAYATILLEKE,F0140
P0059,NYĀṆARAMITA,F0140
P0059,Peter JELITTO,F0140
P0060,NYĀṆAVIMALA,F0141
P0060,Friedrich Möller,F0141
P0061,NYĀṆAVIMALA,F0142
P0061,Friedrich Möller,F0142
P0062,NYĀṆAVIMALA,F0143
P0062,Friedrich Möller,F0143
P0063,NYĀṆARAMITTA Bhikkhu,F0144
P0063,Peter Jelitto,F0144
P0064,NYĀṆASATTA Mahāthera,F0145
P0064,Martin NOVOSAD,F0145
P0065,NYĀNASANTA,F0146
P0065,Dietfried REGULA,F0146
P0066,NYĀNASUMANA,F0146
P0066,Olivier MAILLEBUAU,F0146
P0067,NYĀNAPIYA,F0147
P0067,J.Pistor,F0147
P0067,VAJRABUDDHI,F0147
P0068,NYĀNALOKA,F0147
P0068,Ragasinghe,F0147
P0069,NYĀNATILOKA,F0147
P0069,Anton W. F. Gueth,F0147
P0070,NYĀNAPONIKA,F0147
P0070,Siegmund Feniger,F0147
P0071,NYĀNAVAMASA,F0147
P0071,?,F0147
P0072,NYĀNAVIMALA,F0147
P0072,?,F0147
P0073,NYĀNAKHEMETTO,F0147
P0073,Peter Schoenfeldt,F0147
P0073,SWAMI GAURIBALA,F0147
P0074,NYĀNASISI,F0147
P0074,Otto Krauskopf,F0147
P0075,Bhikku SĪLĀCĀRA,F0148
P0075,J. F. McKechnie,F0148
P0076,WALTER MARKGRAF,F0148
P0076,Sāmanero DhammānusārĪ,F0148
P0077,NYĀNATILOKA,F0148
P0077,Anton W. F. Gueth,F0148
P0078,Nyanapija,F0149
P0079,Nyanaloka,F0149
P0080,Nyanatiloka,F0149
P0081,Nyanaponika,F0149
P0082,Nyanaketho,F0149
P0083,Nyanasisi,F0149
P0084,NYĀNATILOKA,F0150
P0084,Anton W. F. Gueth,F0150
P0085,NYĀNADHARA,F0151
P0085,Conrad Nell aus Berlin,F0151
P0086,NYĀNATILOKA,F0152
P0086,Anton W. F. Gueth,F0152
P0087,Nyānapiya,F0153
P0088,Nyānatiloka,F0153
P0089,NYĀNATILOKA,F0154
P0089,Anton W. F. Gueth,F0154
P0090,NYĀNAPIYA,F0155
P0090,J. Pistor,F0155
P0091,NYĀNAPONIKA,F0156
P0091,Siegmund Feniger,F0156
P0092,Nyānaloka,F0156
P0093,Vappo,F0156
P0094,NYĀNATILOKA,F0156
P0094,Anton W. F. Gueth,F0156
P0095,NYĀNAPONIKA,F0157
P0095,Siegmund Feniger,F0157
P0096,Nyanatiloka,F0158
P0097,Nyanamalito,F0158
P0098,Nyanaponiko,F0158
P0099,NYĀNAPONIKA,F0160
P0099,Siegmund Feniger,F0160
P0100,NYĀNAPONIKA,F0161
P0100,Siegmund Feniger,F0161
P0101,NYĀNAPONIKA,F0162
P0101,Siegmund Feniger,F0162
P0102,Siegmund Feniger,F0164
P0103,Nyānaponika,F0165
P0104,Nyanaponika Mahathera,F0167
P0105,Kheminda Mahathera,F0168
P0106,Nyanaponika Mahathera,F0169
P0107,Nyanaponika Mahathera,F0170
P0108,Nyanaponika Mahathera,F0171
P0109,Nyanaponika Mahathera,F0248
P0110,Richard Abeyasekera,F0173
P0111,RICHARD ABEYASEKERA,F0174
P0112,VIMALO,F0176
P0112,Franz. Joseph Bauer,F0176
P0113,KONDAÑÑO,F0176
P0113,Bartel Bauer,F0176
P0114,VIMALO,F0178
P0114,Franz. Joseph Bauer,F0178
P0115,KONDAÑÑO,F0178
P0115,Bartel Bauer,F0178
P0116,VIMALO,F0179
P0116,Franz. Joseph Bauer,F0179
P0117,KONDAÑÑO,F0179
P0117,Bartel Bauer,F0179
P0118,VAPPO Thero,F0180
P0118,Ludwig Stolz,F0180
P0119,Georg,F0180
P0120,,F0180
P0121,Prof. SEO Kyung BO,F0228
P0121,徐京保,F0228
P0122,Prof. SEO Kyung BO,F0229
P0122,徐京保,F0229
P0123,Prof. SEO Kyung BO,F0230
P0123,徐京保,F0230
P0124,Maungg Maungg Hwin,F0237
P0125,U Kyaw Hla,F0237
P0126,Lama Anagarika Govina,F0237
P0126,Ernst Lothar Hoffmann,F0237
P0127,Nyānatiloka,F0237
P0127,Anton W.F. Gueth,F0237
P0128,Adinavaysa Thera,F0237
P0129,Nyānaloka,F0238
P0129,"Rajasinghe, Singh",F0238
P0130,Nyānatiloka,F0238
P0130,Anton W. F. Gueth,F0238
P0131,Nyānasumedha,F0238
P0132,Nyānaponika,F0238
P0132,Siegmund Feniger,F0238
P0133,Nyānatiloka,F0239
P0133,Anton W. F. Gueth,F0239
P0134,ANURUDDHA,F0240
P0134,K. HEMARATNE,F0240
P0135,NYĀṆĀLOKA,F0240
P0135,Thierry VALLOI,F0240
P0136,MAL DHAMMAJIVA,F0240
P0136,KIU AH WANG,F0240
P0137,VAPPA,F0240
P0137,Pieter PRINS,F0240
P0138,DHAMMASANTA,F0240
P0138,Manfred FATH,F0240
P0139,NYĀṆASANTA,F0240
P0139,Dietfried REGULA,F0240
P0140,PIYARATANA,F0240
P0140,A.K. JAYATILLEKE,F0240
P0141,DHAMMARATANA,F0240
P0141,Thomas Schreiber,F0240
P0142,NYĀṆASUMANA,F0240
P0142,Olivier MAILLEBUAU,F0240
P0143,NYĀNAPONIKA,F0241
P0143,Siegmund Feniger,F0241
P0144,VAPPO,F0241
P0144,Ludwig Stolz,F0241
P0145,Nyānakhetto,F0241
P0145,Peter Schoenfeldt,F0241
P0145,Swami Gauribala,F0241
P0145,NYANAKHETTO,F0241
P0146,NYANAPIYA,F0241
P0146,Julius Pistor,F0241
P0147,NYANAMALITO,F0241
P0147,Malte Schoenfeldt,F0241
P0148,Dr. Wolfgang Schumacher,F0242
P0149,Dr. Wolfgang Schumacher,F0243
P0150,Dr. med. Wolfgang Schumacher,F0244
P0151,Ilse,F0244
P0152,Dr. Wolf gang Schumacher,F0245
P0153,Ludwig STOLZ,F0246
P0153,VAPPO,F0246
P0154,test person shown's inscribed name,test identifier
