person_id,inscribed_name,source_identifier
P0106,With beard: HITESI Samanera,F0139
P0106,Wolfgang Haala,F0139
P0107,NYĀṆADHIRA,F0140
P0107,Frederic HENRY,F0140
P0108,NYĀṆASATTA,F0140
P0108,Martin NOVOSAD,F0140
P0109,HITESI,F0140
P0109,Wolfgang Haala,F0140
P0110,PIYARATANA,F0140
P0110,AK JAYATILLEKE,F0140
P0111,NYĀṆARAMITA,F0140
P0111,Peter JELITTO,F0140
P0112,NYĀṆAVIMALA,F0141
P0112,Friedrich Möller,F0141
P0113,NYĀṆAVIMALA,F0142
P0113,Friedrich Möller,F0142
P0114,NYĀṆAVIMALA,F0143
P0114,Friedrich Möller,F0143
P0115,NYĀṆARAMITTA Bhikkhu,F0144
P0115,Peter Jelitto,F0144
P0116,NYĀṆASATTA Mahāthera,F0145
P0116,Martin NOVOSAD,F0145
P0117,NYĀNASANTA,F0146
P0117,Dietfried REGULA,F0146
P0118,NYĀNASUMANA,F0146
P0118,Olivier MAILLEBUAU,F0146
P0119,NYĀNAPIYA,F0147
P0119,J.Pistor,F0147
P0119,VAJRABUDDHI,F0147
P0120,NYĀNALOKA,F0147
P0120,Ragasinghe,F0147
P0121,NYĀNATILOKA,F0147
P0121,Anton W. F. Gueth,F0147
P0122,NYĀNAPONIKA,F0147
P0122,Siegmund Feniger,F0147
P0123,NYĀNAVAMASA,F0147
P0123,?,F0147
P0124,NYĀNAVIMALA,F0147
P0124,?,F0147
P0125,NYĀNAKHEMETTO,F0147
P0125,Peter Schoenfeldt,F0147
P0125,SWAMI GAURIBALA,F0147
P0126,NYĀNASISI,F0147
P0126,Otto Krauskopf,F0147
P0127,Bhikku SĪLĀCĀRA,F0148
P0127,J. F. McKechnie,F0148
P0128,WALTER MARKGRAF,F0148
P0128,Sāmanero DhammānusārĪ,F0148
P0129,NYĀNATILOKA,F0148
P0129,Anton W. F. Gueth,F0148
P0130,Nyanapija,F0149
P0131,Nyanaloka,F0149
P0132,Nyanatiloka,F0149
P0133,Nyanaponika,F0149
P0134,Nyanaketho,F0149
P0135,Nyanasisi,F0149
P0136,NYĀNATILOKA,F0150
P0136,Anton W. F. Gueth,F0150
P0137,NYĀNADHARA,F0151
P0137,Conrad Nell aus Berlin,F0151
P0138,NYĀNATILOKA,F0152
P0138,Anton W. F. Gueth,F0152
P0139,Nyānapiya,F0153
P0140,Nyānatiloka,F0153
P0141,NYĀNATILOKA,F0154
P0141,Anton W. F. Gueth,F0154
P0142,NYĀNAPIYA,F0155
P0142,J. Pistor,F0155
P0143,NYĀNAPONIKA,F0156
P0143,Siegmund Feniger,F0156
P0144,Nyānaloka,F0156
P0145,Vappo,F0156
P0146,NYĀNATILOKA,F0156
P0146,Anton W. F. Gueth,F0156
